,i,q
0,0.033058967,0.028798454
1,0.03301229,0.02884016
2,0.032968104,0.028880242
3,0.032926545,0.028919104
4,0.03288718,0.02895595
5,0.03284979,0.02899091
6,0.032814104,0.029023945
7,0.032779682,0.029055139
8,0.0327459,0.029084181
9,0.03271279,0.029111324
10,0.03267961,0.029136095
11,0.032645725,0.0291583
12,0.03261128,0.029178208
13,0.0325755,0.029195916
14,0.03253825,0.029211447
15,0.032498784,0.02922503
16,0.032457296,0.02923651
17,0.03241313,0.029246606
18,0.032365948,0.02925527
19,0.032315776,0.029262068
20,0.03226249,0.02926731
21,0.03220575,0.029270668
22,0.032144986,0.029272368
23,0.032080222,0.029272608
24,0.032011416,0.029271618
25,0.03193817,0.029269462
26,0.031860445,0.029266134
27,0.031778246,0.0292617
28,0.031690985,0.029256491
29,0.031599414,0.029250553
30,0.031503186,0.029243803
31,0.03140241,0.02923657
32,0.031297296,0.02922918
33,0.031188074,0.029221568
34,0.031074533,0.029213782
35,0.030956892,0.029205287
36,0.030835325,0.029196996
37,0.030709928,0.029188769
38,0.030581191,0.029180486
39,0.030449187,0.029172227
40,0.030314352,0.029164262
41,0.030176891,0.029156268
42,0.030037232,0.029148778
43,0.02989583,0.029141359
44,0.029752608,0.02913388
45,0.029608145,0.02912657
46,0.029462894,0.029118923
47,0.029316397,0.02911144
48,0.029169207,0.029103369
49,0.029022159,0.029094733
50,0.028875496,0.029085726
51,0.028729776,0.02907635
52,0.028584981,0.029066278
53,0.028441923,0.029055636
54,0.028300744,0.029043604
55,0.028161362,0.029030548
56,0.028024333,0.029016454
57,0.02788992,0.02900083
58,0.027758349,0.028983759
59,0.027630307,0.028965397
60,0.027505575,0.028945036
61,0.02738448,0.028922938
62,0.027266955,0.028899211
63,0.027153222,0.028873088
64,0.027043609,0.028844394
65,0.026937928,0.02881333
66,0.02683659,0.0287797
67,0.026739383,0.02874369
68,0.026646778,0.028704748
69,0.026558118,0.028662667
70,0.026473409,0.028617904
71,0.026392525,0.028570397
72,0.026315706,0.028520154
73,0.026242707,0.02846742
74,0.026173288,0.028412163
75,0.026107468,0.028354142
76,0.026045293,0.028293503
77,0.025986742,0.028230162
78,0.025930947,0.028164597
79,0.02587867,0.028096817
80,0.02582876,0.02802662
81,0.02578108,0.027954414
82,0.025735203,0.027880156
83,0.02569105,0.02780369
84,0.02564814,0.027725523
85,0.025606427,0.027645914
86,0.025565203,0.027565124
87,0.025524167,0.027483355
88,0.025483273,0.027400736
89,0.025442157,0.027317228
90,0.025400367,0.027233241
91,0.025357563,0.027148373
92,0.025313694,0.027063109
93,0.02526855,0.026977394
94,0.02522162,0.026891682
95,0.025172606,0.026806485
96,0.025121558,0.02672132
97,0.025067877,0.02663696
98,0.025011683,0.026553104
99,0.024953157,0.02646999
100,0.024891634,0.026387608
101,0.024826955,0.026305873
102,0.024759328,0.026225343
103,0.024688706,0.026145693
104,0.024614943,0.026067408
105,0.024537746,0.025990695
106,0.024457077,0.025915463
107,0.024372946,0.025841627
108,0.02428533,0.025769558
109,0.024194246,0.02569908
110,0.024099736,0.025630059
111,0.024001947,0.02556246
112,0.023901248,0.025496343
113,0.02379744,0.025431296
114,0.023690835,0.02536759
115,0.02358168,0.025304943
116,0.023469804,0.025243424
117,0.023355233,0.0251827
118,0.023238331,0.025122436
119,0.023119576,0.025062732
120,0.022999464,0.025003305
121,0.022878224,0.024943924
122,0.02275566,0.024884643
123,0.022631908,0.0248253
124,0.022507338,0.024765462
125,0.022382105,0.024705265
126,0.022256399,0.024644418
127,0.02212983,0.024582785
128,0.0220031,0.024520172
129,0.021876797,0.02445632
130,0.02175045,0.024390869
131,0.021624515,0.024324028
132,0.02149903,0.024255594
133,0.021374097,0.024185764
134,0.021249726,0.02411417
135,0.021126091,0.024040518
136,0.021003809,0.02396468
137,0.020882847,0.02388698
138,0.020763498,0.023806619
139,0.020645393,0.023723714
140,0.020528562,0.02363877
141,0.020413067,0.023551483
142,0.020299094,0.023462487
143,0.02018662,0.023371527
144,0.020075662,0.023278954
145,0.019965569,0.023184728
146,0.019856669,0.023088792
147,0.01974895,0.022991685
148,0.01964289,0.022893392
149,0.01953829,0.02279367
150,0.019434493,0.022693096
151,0.019331617,0.022592362
152,0.019229302,0.02249178
153,0.019127123,0.022390733
154,0.019024938,0.02229007
155,0.018923169,0.022189556
156,0.01882165,0.022089548
157,0.018720191,0.02199033
158,0.018618945,0.021892138
159,0.018517451,0.021795267
160,0.018415388,0.02169978
161,0.018312614,0.02160575
162,0.018209327,0.021513727
163,0.018104808,0.021423249
164,0.017999662,0.021334864
165,0.017893676,0.021248898
166,0.017786063,0.02116558
167,0.017677138,0.021085171
168,0.01756679,0.02100748
169,0.017454656,0.020932842
170,0.017340189,0.020861298
171,0.017223667,0.020792872
172,0.017104998,0.020727396
173,0.016984424,0.020664988
174,0.016861977,0.020605303
175,0.016737582,0.020548865
176,0.01661168,0.020495076
177,0.016483672,0.020444186
178,0.016353918,0.020396091
179,0.016221952,0.020350596
180,0.0160878,0.020307472
181,0.015951857,0.020266792
